City,Shoptype,Name,Latitute,Brand,Longitude,Address,Date
,,,,,,,
Cagliari\,+39 070 6848815\,DEL.COM. SRL\,9.116201300000057\,Tods,39.215627900000001\,Piazza costituzione 12\,
Palermo\,+39 091 6090301\,DEL.COM SRL\,13.35476970000002\,Tods,38.125608799999988\,Via Libertà 10-10A\,
Napoli\,+39 081 410156\,FILANGIERI 29 SRL\,14.2402376\,Tods,40.836544699999997\,Via Filangieri 28\\/33\,
Forte dei Marmi\,+39 0584 80807\,DEL.COM. SRL\,10.170197899999948\,Tods,43.958142000000002\,"Via Carducci, 15\",
Genova\,+39 010 5954648\,DEL.COM. SRL\,8.936509644635748\,Tods,44.409340789436925\,Via Roma 33R\,
Bari\,+39 080 5207088\,DEL.COM. SRL\,16.86949119999997\,Tods,41.1239846\,"Via sparano, 45\\/47\",
Bologna\,+39 051 224052\,DEL.COM. SRL\,11.344208776721189\,Tods,44.491745811149009\,"Galleria cavour, 2\",
Milano\,+39 02 48028848\,DEL.COM. SRL\,9.163584300000025\,Tods,45.466375900000003\,Corso vercelli 8\,
Monza\,+39 039 382337\,DEL.COM s.r.l.\,9.273644699999977\,Tods,45.581035900000003\,via Italia 39\,
Varese\,+39 0332 232736\,DEL.COM. SRL\,8.826299100000028\,Tods,45.818982699999999\,Corso Giacomo Matteotti 33\,
Bergamo\,+39 035 212389\,DEL.COM. SRL\,9.665258386508185\,Tods,45.692898173123382\,Via XX settembre 115\,
Brescia\,+39 030 2942512\,DEL.COM. SRL\,10.218775000000051\,Tods,45.537126099999988\,"Corso palestro 11, ang. via gramsci 2\",
Verona\,+39 045 8008516\,DEL. PAV SRL\,10.994287500000041\,Tods,45.440144500000002\,"Via Mazzini, 66\",
Padova\,+39 049 8751741\,DEL. PAV SRL\,11.87764059999995\,Tods,45.409580699999999\,"Piazza Garibaldi, 4\",
Vicenza\,+39 0444 547810\,DEL. PAV SRL\,11.54382929999997\,Tods,45.547213399999997\,"Corso Palladio, 59\",
Treviso\,+39 0422 412680\,DEL. PAV SRL\,12.245907100000068\,Tods,45.6646164\,"Via XX settembre, 1\",
Bolzano\,+39 0471 300220\,DEL. PAV SRL\,11.354213500000014\,Tods,46.498607900000003\,"Via della mostra, 1 ang. walter platz\",
Udine\,+39 0432 227783\,DEL. PAV SRL\,13.233158000000003\,Tods,46.062998999999998\,Piazza Giacomo Matteotti 10\,
